GROUP_KEY,CATEGORY,BRAND,DISPLAY_NAME,IMAGE_COUNT,PRIMARY_IMAGE,CONFIDENCE,NEEDS_REVIEW
NO-CAT::Samsung::samsunggalaxys215gc-medium,,Samsung,samsunggalaxys215gc medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/samsunggalaxys215gc-medium%20(1).webp?updatedAt=1786488896589,LOW,YES
C01::Samsung::galaxy-s20-ultra-b-medium,Smartphones,Samsung,galaxy s20 ultra b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(4)/galaxy-s20-ultra-b-medium%20(1).webp?updatedAt=1786488765378,MEDIUM,NO
NO-CAT::Samsung::samsung-galalxy-note-9-a-medium,,Samsung,samsung galalxy note 9 a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(4)/samsung-galalxy-note-9-a-medium%20(1).webp?updatedAt=1786488770108,LOW,YES
C01::Samsung::samsung-galaxy-s20-b-medium,Smartphones,Samsung,samsung galaxy s20 b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(4)/samsung-galaxy-s20-b-medium%20(1).webp?updatedAt=1786488844968,MEDIUM,NO
NO-CAT::Samsung::galaxya04sa-medium,,Samsung,galaxya04sa medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/galaxya04sa-medium%20(1).webp?updatedAt=1786488602781,LOW,YES
NO-CAT::Samsung::galaxya244gb-medium,,Samsung,galaxya244gb medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/galaxya244gb-medium%20(1).webp?updatedAt=1786488602882,LOW,YES
NO-CAT::Samsung::galaxys23b-medium,,Samsung,galaxys23b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/galaxys23b-medium%20(1).webp?updatedAt=1786488685345,LOW,YES
NO-CAT::Samsung::galaxys23plusc-medium,,Samsung,galaxys23plusc medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/galaxys23plusc-medium%20(1).webp?updatedAt=1786488686468,LOW,YES
C01::Samsung::samsung-galaxy-a15-4g-a-medium,Smartphones,Samsung,Samsung Galaxy A15 4G a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/Samsung-Galaxy-A15-4G-a-medium%20(1).webp?updatedAt=1786488687318,MEDIUM,NO
C01::Samsung::samsung-galaxy-a15-5g-k-medium,Smartphones,Samsung,Samsung Galaxy A15 5G k medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/Samsung-Galaxy-A15-5G-k-medium%20(1).webp?updatedAt=1786488687323,MEDIUM,NO
C01::Samsung::samsung-galaxy-f15-medium,Smartphones,Samsung,Samsung Galaxy F15 medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/Samsung-Galaxy-F15-medium%20(1).webp?updatedAt=1786488687373,MEDIUM,NO
C01::Samsung::samsung-galaxy-m15-b-medium,Smartphones,Samsung,Samsung Galaxy M15 b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(6)/Samsung-Galaxy-M15-b-medium%20(1).webp?updatedAt=1786488688733,MEDIUM,NO
NO-CAT::Samsung::galaxya04eb-medium,,Samsung,galaxya04eb medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxya04eb-medium%20(1).webp?updatedAt=1786488539757,LOW,YES
NO-CAT::Samsung::galaxya145gb-medium,,Samsung,galaxya145gb medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxya145gb-medium%20(1).webp?updatedAt=1786488539848,LOW,YES
NO-CAT::Samsung::galaxya335gb-medium,,Samsung,galaxya335gb medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxya335gb-medium%20(1).webp?updatedAt=1786488539877,LOW,YES
NO-CAT::Samsung::galaxyf13a-medium,,Samsung,galaxyf13a medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxyf13a-medium%20(1).webp?updatedAt=1786488539863,LOW,YES
NO-CAT::Samsung::galaxyf145ga-medium,,Samsung,galaxyf145ga medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxyf145ga-medium%20(1).webp?updatedAt=1786488539832,LOW,YES
NO-CAT::Samsung::galaxym134gb-medium,,Samsung,galaxym134gb medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxym134gb-medium%20(1).webp?updatedAt=1786488543858,LOW,YES
NO-CAT::Samsung::galaxym54b-medium,,Samsung,galaxym54b medium,6,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(7)/galaxym54b-medium%20(1).webp?updatedAt=1786488544506,LOW,YES
