duplicateGroupKey,duplicateBasis,count,fileIds,filePaths,names,size,width,height
1624|100|50|xiaomi-logo-original (5).webp,same name + size + dimensions,2,6a7c25675c7cd75eb84fb83d|6a7c240a5c7cd75eb84613a6,/itel/xiaomi-logo-original (5).webp|/tvs/xiaomi-logo-original (5).webp,xiaomi-logo-original (5).webp|xiaomi-logo-original (5).webp,1624,100,50
1642|145|145|samsung-galaxy-buds-4-a-medium (2).webp,same name + size + dimensions,3,6a7ca9e75c7cd75eb8317961|6a7caae55c7cd75eb84186dd|6a7cab675c7cd75eb849d6b9,/airbuds/Samsung-Galaxy-Buds-4-a-medium (2).webp|/airbuds2/Samsung-Galaxy-Buds-4-a-medium (2).webp|/airbuds3/Samsung-Galaxy-Buds-4-a-medium (2).webp,Samsung-Galaxy-Buds-4-a-medium (2).webp|Samsung-Galaxy-Buds-4-a-medium (2).webp|Samsung-Galaxy-Buds-4-a-medium (2).webp,1642,145,145
1682|100|50|honor-logo-original (2).webp,same name + size + dimensions,5,6a7c24ec5c7cd75eb84c4f62|6a7cac9d5c7cd75eb85d32d7|6a7cadd25c7cd75eb8709fce|6a7caeb85c7cd75eb87f9eea|6a7caeed5c7cd75eb88377d7,/itel/honor-logo-original (2).webp|/Oppo2/honor-logo-original (2).webp|/Oppo3/honor-logo-original (2).webp|/Oppo5/honor-logo-original (2).webp|/Oppo6/honor-logo-original (2).webp,honor-logo-original (2).webp|honor-logo-original (2).webp|honor-logo-original (2).webp|honor-logo-original (2).webp|honor-logo-original (2).webp,1682,100,50
1690|145|145|airpods-pro-3-a-medium (2).webp,same name + size + dimensions,3,6a7ca9d55c7cd75eb83056a6|6a7caadb5c7cd75eb840ee9d|6a7cab5e5c7cd75eb8492fbd,/airbuds/airpods-pro-3-a-medium (2).webp|/airbuds2/airpods-pro-3-a-medium (2).webp|/airbuds3/airpods-pro-3-a-medium (2).webp,airpods-pro-3-a-medium (2).webp|airpods-pro-3-a-medium (2).webp|airpods-pro-3-a-medium (2).webp,1690,145,145
1726|145|145|airpods-4-b-medium (2).webp,same name + size + dimensions,4,6a7ca9d45c7cd75eb8304f44|6a7caadc5c7cd75eb840f140|6a7cab5e5c7cd75eb8492a0c|6a7cabb05c7cd75eb84e89f6,/airbuds/AirPods-4-b-medium (2).webp|/airbuds2/AirPods-4-b-medium (2).webp|/airbuds3/AirPods-4-b-medium (2).webp|/airbuds4/AirPods-4-b-medium (2).webp,AirPods-4-b-medium (2).webp|AirPods-4-b-medium (2).webp|AirPods-4-b-medium (2).webp|AirPods-4-b-medium (2).webp,1726,145,145
1730|145|145|anker-soundcore-p30i-f-medium (2).webp,same name + size + dimensions,3,6a7ca9d45c7cd75eb8305377|6a7caadb5c7cd75eb840efa5|6a7cab5e5c7cd75eb8493283,/airbuds/Anker-Soundcore-P30i-f-medium (2).webp|/airbuds2/Anker-Soundcore-P30i-f-medium (2).webp|/airbuds3/Anker-Soundcore-P30i-f-medium (2).webp,Anker-Soundcore-P30i-f-medium (2).webp|Anker-Soundcore-P30i-f-medium (2).webp|Anker-Soundcore-P30i-f-medium (2).webp,1730,145,145
1774|100|50|jbl-logo-original (2).webp,same name + size + dimensions,6,6a7ca9de5c7cd75eb830fd9d|6a7caadd5c7cd75eb84109b7|6a7cab5e5c7cd75eb8493629|6a7cabb15c7cd75eb84e9e34|6a7caf675c7cd75eb88bf467|6a7c26015c7cd75eb8542a11,/airbuds/jbl-logo-original (2).webp|/airbuds2/jbl-logo-original (2).webp|/airbuds3/jbl-logo-original (2).webp|/airbuds4/jbl-logo-original (2).webp|/airbuds5/jbl-logo-original (2).webp|/Bts/jbl-logo-original (2).webp,jbl-logo-original (2).webp|jbl-logo-original (2).webp|jbl-logo-original (2).webp|jbl-logo-original (2).webp|jbl-logo-original (2).webp|jbl-logo-original (2).webp,1774,100,50
1778|145|145|oneplus-buds-pro-2-e-medium (2).webp,same name + size + dimensions,2,6a7caae45c7cd75eb84182d3|6a7cab675c7cd75eb849d484,/airbuds2/Oneplus-Buds-Pro-2-e-medium (2).webp|/airbuds3/Oneplus-Buds-Pro-2-e-medium (2).webp,Oneplus-Buds-Pro-2-e-medium (2).webp|Oneplus-Buds-Pro-2-e-medium (2).webp,1778,145,145
1788|145|145|galaxy-buds-core-c-medium (2).webp,same name + size + dimensions,3,6a7ca9dc5c7cd75eb830d45b|6a7caadc5c7cd75eb84103d0|6a7cab5e5c7cd75eb8493538,/airbuds/galaxy-buds-core-c-medium (2).webp|/airbuds2/galaxy-buds-core-c-medium (2).webp|/airbuds3/galaxy-buds-core-c-medium (2).webp,galaxy-buds-core-c-medium (2).webp|galaxy-buds-core-c-medium (2).webp|galaxy-buds-core-c-medium (2).webp,1788,145,145
1804|145|145|tecnocamon21premierkenya-medium (2).webp,same name + size + dimensions,2,6a7b69825c7cd75eb8e19b20|6a7b6a8c5c7cd75eb8e73701,/ecommerce/All Tecno Smartphones - Price in Kenya/tecnocamon21premierkenya-medium (2).webp|/ecommerce/Tecno-2/All Tecno Smartphones - Price in Kenya/tecnocamon21premierkenya-medium (2).webp,tecnocamon21premierkenya-medium (2).webp|tecnocamon21premierkenya-medium (2).webp,1804,145,145
1806|145|145|samsung-galaxy-z-flip-7-a-medium (4).webp,same name + size + dimensions,2,6a7ba8c85c7cd75eb81b1437|6a7ba8965c7cd75eb818422e,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/Samsung-Galaxy-Z-Flip-7-a-medium (4).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/Samsung-Galaxy-Z-Flip-7-a-medium (4).webp,Samsung-Galaxy-Z-Flip-7-a-medium (4).webp|Samsung-Galaxy-Z-Flip-7-a-medium (4).webp,1806,145,145
1806|145|145|samsung-galaxy-z-flip-7-a-medium (5).webp,same name + size + dimensions,2,6a7ba8c85c7cd75eb81b14a8|6a7ba8965c7cd75eb8184712,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/Samsung-Galaxy-Z-Flip-7-a-medium (5).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/Samsung-Galaxy-Z-Flip-7-a-medium (5).webp,Samsung-Galaxy-Z-Flip-7-a-medium (5).webp|Samsung-Galaxy-Z-Flip-7-a-medium (5).webp,1806,145,145
1816|145|145|oneplusnordbudsced-medium (2).webp,same name + size + dimensions,2,6a7caae55c7cd75eb841869a|6a7cab675c7cd75eb849d5ee,/airbuds2/oneplusnordbudsced-medium (2).webp|/airbuds3/oneplusnordbudsced-medium (2).webp,oneplusnordbudsced-medium (2).webp|oneplusnordbudsced-medium (2).webp,1816,145,145
1836|145|145|samsung-galaxy-a56-medium (2).webp,same name + size + dimensions,2,6a7ba8c55c7cd75eb81ae58b|6a7ba86c5c7cd75eb815e20a,/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (1)/Samsung-Galaxy-A56-medium (2).webp|/ecommerce/samsung/All Samsung Smartphones - Price in Kenya (2)/Samsung-Galaxy-A56-medium (2).webp,Samsung-Galaxy-A56-medium (2).webp|Samsung-Galaxy-A56-medium (2).webp,1836,145,145
184|30|30|default (4).svg,same name + size + dimensions,3,6a7bbb8b5c7cd75eb8494790|6a7bbb535c7cd75eb846d9fa|6a7bbb025c7cd75eb84212a7,/laptops1/Laptops _ Nairobi Computer Shop (1)/default (4).svg|/laptops1/Laptops _ Nairobi Computer Shop (2)/default (4).svg|/laptops1/Laptops _ Nairobi Computer Shop (3)/default (4).svg,default (4).svg|default (4).svg|default (4).svg,184,30,30
