ID,SOURCE_FOLDER,FILENAME,DISPLAY_NAME,BRAND,CAT_ID,CAT_NAME,CONFIDENCE,REASONS,URL
6a7b63455c7cd75eb8b334c5,ecommerce,Xiaomi-Poco-F6-Pro-a-medium.webp,Xiaomi Poco F6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-F6-Pro-a-medium.webp?updatedAt=1786471238224
6a7b63485c7cd75eb8b344d8,ecommerce,Xiaomi-Poco-M7-Pro-5G-medium (1).webp,Xiaomi Poco M7 Pro 5G medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-M7-Pro-5G-medium%20(1).webp?updatedAt=1786471240896
6a7b63465c7cd75eb8b33c26,ecommerce,Xiaomi-Poco-M7-Pro-5G-medium (2).webp,Xiaomi Poco M7 Pro 5G medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-M7-Pro-5G-medium%20(2).webp?updatedAt=1786471239270
6a7b63475c7cd75eb8b33f51,ecommerce,Xiaomi-Poco-M7-Pro-5G-medium.webp,Xiaomi Poco M7 Pro 5G medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-M7-Pro-5G-medium.webp?updatedAt=1786471239902
6a7b63465c7cd75eb8b33af0,ecommerce,Xiaomi-Poco-X6-Pro-a-medium (1).webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium%20(1).webp?updatedAt=1786471238998
6a7b63485c7cd75eb8b34414,ecommerce,Xiaomi-Poco-X6-Pro-a-medium (2).webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium%20(2).webp?updatedAt=1786471240781
6a7b63455c7cd75eb8b33532,ecommerce,Xiaomi-Poco-X6-Pro-a-medium (3).webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium%20(3).webp?updatedAt=1786471238243
6a7b63465c7cd75eb8b33a9d,ecommerce,Xiaomi-Poco-X6-Pro-a-medium (4).webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium%20(4).webp?updatedAt=1786471238939
6a7b63485c7cd75eb8b34440,ecommerce,Xiaomi-Poco-X6-Pro-a-medium (5).webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium%20(5).webp?updatedAt=1786471240846
6a7b63485c7cd75eb8b344b6,ecommerce,Xiaomi-Poco-X6-Pro-a-medium.webp,Xiaomi Poco X6 Pro a medium,Xiaomi,,,LOW,"folder mapping: ecommerce -> UNCATEGORIZED | note: Generic ecommerce folder - mixed assets, requires review | brand Xiaomi appears in 4 categories (cross-category brand)",https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20Xiaomi%20Smartphones%20-%20Price%20in%20Kenya%20(2)/Xiaomi-Poco-X6-Pro-a-medium.webp?updatedAt=1786471240902
